#,link,title,acceptance,difficulty
"314","https://leetcode.com/problems/binary-tree-vertical-order-traversal","314. Binary Tree Vertical Order Traversal","56.5%","Medium"
"1371","https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses","1249. Minimum Remove to Make Valid Parentheses","70.2%","Medium"
"560","https://leetcode.com/problems/subarray-sum-equals-k","560. Subarray Sum Equals K","44.9%","Medium"
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","215. Kth Largest Element in an Array","67.6%","Medium"
"1790","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii","1650. Lowest Common Ancestor of a Binary Tree III","81.8%","Medium"
"680","https://leetcode.com/problems/valid-palindrome-ii","680. Valid Palindrome II","42.4%","Easy"
"1909","https://leetcode.com/problems/buildings-with-an-ocean-view","1762. Buildings With an Ocean View","80.5%","Medium"
"408","https://leetcode.com/problems/valid-word-abbreviation","408. Valid Word Abbreviation","36.6%","Easy"
"227","https://leetcode.com/problems/basic-calculator-ii","227. Basic Calculator II","45.2%","Medium"
"543","https://leetcode.com/problems/diameter-of-binary-tree","543. Diameter of Binary Tree","62.7%","Easy"
"88","https://leetcode.com/problems/merge-sorted-array","88. Merge Sorted Array","52.2%","Easy"
"138","https://leetcode.com/problems/copy-list-with-random-pointer","138. Copy List with Random Pointer","59.4%","Medium"
"912","https://leetcode.com/problems/random-pick-with-weight","528. Random Pick with Weight","48.2%","Medium"
"71","https://leetcode.com/problems/simplify-path","71. Simplify Path","46.5%","Medium"
"162","https://leetcode.com/problems/find-peak-element","162. Find Peak Element","46.3%","Medium"
"339","https://leetcode.com/problems/nested-list-weight-sum","339. Nested List Weight Sum","85.1%","Medium"
"1713","https://leetcode.com/problems/dot-product-of-two-sparse-vectors","1570. Dot Product of Two Sparse Vectors","89.9%","Medium"
"236","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree","236. Lowest Common Ancestor of a Binary Tree","65.6%","Medium"
"129","https://leetcode.com/problems/sum-root-to-leaf-numbers","129. Sum Root to Leaf Numbers","67.8%","Medium"
"1029","https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree","987. Vertical Order Traversal of a Binary Tree","50.3%","Hard"
"347","https://leetcode.com/problems/top-k-frequent-elements","347. Top K Frequent Elements","64.0%","Medium"
"1046","https://leetcode.com/problems/max-consecutive-ones-iii","1004. Max Consecutive Ones III","65.2%","Medium"
"50","https://leetcode.com/problems/powx-n","50. Pow(x, n)","36.4%","Medium"
"56","https://leetcode.com/problems/merge-intervals","56. Merge Intervals","48.8%","Medium"
"146","https://leetcode.com/problems/lru-cache","146. LRU Cache","44.4%","Medium"
"807","https://leetcode.com/problems/custom-sort-string","791. Custom Sort String","71.7%","Medium"
"346","https://leetcode.com/problems/moving-average-from-data-stream","346. Moving Average from Data Stream","79.6%","Easy"
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","121. Best Time to Buy and Sell Stock","54.7%","Easy"
"1014","https://leetcode.com/problems/k-closest-points-to-origin","973. K Closest Points to Origin","67.5%","Medium"
"125","https://leetcode.com/problems/valid-palindrome","125. Valid Palindrome","50.1%","Easy"
"670","https://leetcode.com/problems/maximum-swap","670. Maximum Swap","51.7%","Medium"
"224","https://leetcode.com/problems/basic-calculator","224. Basic Calculator","44.8%","Hard"
"975","https://leetcode.com/problems/range-sum-of-bst","938. Range Sum of BST","87.3%","Easy"
"1028","https://leetcode.com/problems/interval-list-intersections","986. Interval List Intersections","72.4%","Medium"
"1171","https://leetcode.com/problems/shortest-path-in-binary-matrix","1091. Shortest Path in Binary Matrix","49.1%","Medium"
"282","https://leetcode.com/problems/expression-add-operators","282. Expression Add Operators","41.0%","Hard"
"854","https://leetcode.com/problems/making-a-large-island","827. Making A Large Island","54.2%","Hard"
"199","https://leetcode.com/problems/binary-tree-right-side-view","199. Binary Tree Right Side View","65.5%","Medium"
"270","https://leetcode.com/problems/closest-binary-search-tree-value","270. Closest Binary Search Tree Value","50.2%","Easy"
"65","https://leetcode.com/problems/valid-number","65. Valid Number","21.1%","Hard"
"249","https://leetcode.com/problems/group-shifted-strings","249. Group Shifted Strings","66.9%","Medium"
"850","https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list","708. Insert into a Sorted Circular Linked List","37.6%","Medium"
"392","https://leetcode.com/problems/is-subsequence","392. Is Subsequence","48.2%","Easy"
"19","https://leetcode.com/problems/remove-nth-node-from-end-of-list","19. Remove Nth Node From End of List","48.0%","Medium"
"23","https://leetcode.com/problems/merge-k-sorted-lists","23. Merge k Sorted Lists","55.7%","Hard"
"34","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","34. Find First and Last Position of Element in Sorted Array","46.1%","Medium"
"219","https://leetcode.com/problems/contains-duplicate-ii","219. Contains Duplicate II","48.0%","Easy"
"523","https://leetcode.com/problems/continuous-subarray-sum","523. Continuous Subarray Sum","30.7%","Medium"
"14","https://leetcode.com/problems/longest-common-prefix","14. Longest Common Prefix","44.8%","Easy"
